Item_Identifier,Outlet_Identifier,sales_predictions
FDW58,OUT049,2104.0
FDW14,OUT017,1161.5
NCN55,OUT010,2198.0
FDQ58,OUT017,2199.0
FDY38,OUT027,5052.5
FDH56,OUT046,1831.0
FDL48,OUT018,1230.5
FDC48,OUT027,2756.0
FDN33,OUT045,1474.0
FDA36,OUT017,2710.5
FDT44,OUT017,1498.0
FDQ56,OUT045,1286.0
NCC54,OUT019,2422.5
FDU11,OUT049,2222.5
DRL59,OUT013,664.5
FDM24,OUT049,2748.0
FDI57,OUT045,3116.0
DRC12,OUT018,3491.0
NCM42,OUT027,3178.0
FDA46,OUT010,1322.0
FDA31,OUT013,2432.5
NCJ31,OUT035,3174.5
FDG52,OUT046,692.5
NCL19,OUT019,1092.5
FDS10,OUT035,2463.5
FDX22,OUT010,1843.5
NCF19,OUT035,385.0
NCE06,OUT046,2427.0
DRC27,OUT046,3806.0
FDE21,OUT035,1484.0
NCR42,OUT019,-682.0
FDX51,OUT018,3580.0
NCR06,OUT018,1163.0
FDU31,OUT027,4925.5
FDU59,OUT017,2231.0
FDR03,OUT027,4750.5
FDS49,OUT027,2657.5
FDD48,OUT010,285.0
NCF18,OUT017,2659.5
NCD43,OUT027,3097.0
NCD54,OUT018,2700.0
FDY19,OUT010,293.0
NCY54,OUT017,2259.0
NCL19,OUT018,2745.5
FDP23,OUT010,1884.0
FDC26,OUT013,1428.0
FDR14,OUT010,-957.5
NCS41,OUT035,2475.0
FDF41,OUT035,3386.5
FDU34,OUT046,1879.0
DRH11,OUT046,862.0
FDM03,OUT013,1345.5
FDS31,OUT017,2611.0
FDJ20,OUT017,1612.5
FDV44,OUT027,4452.5
FDG02,OUT049,3370.5
FDA09,OUT013,2704.0
FDT04,OUT013,299.0
FDL58,OUT019,2894.0
FDE52,OUT045,1513.5
FDW12,OUT035,1962.0
FDL51,OUT017,3130.5
NCY42,OUT027,3690.0
FDR07,OUT017,1194.0
FDN40,OUT045,2362.5
FDB35,OUT027,2885.0
FDA22,OUT017,2270.5
NCL06,OUT046,4025.5
FDI35,OUT013,2620.5
NCW42,OUT045,3460.5
NCX06,OUT049,3214.0
FDC37,OUT027,3155.5
FDZ14,OUT018,2414.0
DRG49,OUT049,4204.5
NCG06,OUT045,4042.0
DRC36,OUT045,2826.0
FDV21,OUT019,450.0
FDB53,OUT046,2163.5
DRP47,OUT019,2545.5
FDA14,OUT013,2023.0
DRC24,OUT035,2074.0
FDW21,OUT018,2135.0
NCH29,OUT046,1508.5
FDU58,OUT013,2809.5
FDY27,OUT017,2529.0
FDV56,OUT035,1427.5
FDT59,OUT046,3612.0
FDB23,OUT046,3594.5
FDR49,OUT045,627.0
FDB03,OUT010,2035.5
FDN39,OUT045,2728.0
FDX02,OUT027,4914.5
FDQ16,OUT027,3137.0
FDU35,OUT018,1963.0
NCT29,OUT013,1661.0
FDZ27,OUT046,770.0
FDN57,OUT017,1909.0
FDA03,OUT018,2771.5
FDZ36,OUT045,2957.0
NCU05,OUT013,1030.0
FDT39,OUT018,2916.0
FDK60,OUT017,1232.5
FDZ25,OUT017,2449.0
FDG12,OUT046,1990.5
DRB01,OUT019,1738.0
NCC43,OUT027,5286.0
FDX13,OUT019,2678.5
FDM22,OUT049,1257.5
FDJ03,OUT027,2227.0
FDU14,OUT018,4408.5
FDB33,OUT010,1017.5
FDP27,OUT046,2850.0
FDO38,OUT010,-401.0
FDE28,OUT027,5000.0
FDO27,OUT035,993.0
DRL23,OUT027,3195.0
FDS28,OUT046,852.0
FDX24,OUT013,1279.0
FDZ02,OUT035,1203.5
FDL46,OUT045,1839.5
FDS60,OUT027,4256.5
NCO06,OUT017,152.0
FDO16,OUT035,1002.5
FDC60,OUT049,1697.5
FDA48,OUT018,3792.0
